Street_Num,Street_Nam,Borough,BBL0,BBL1,BBL2,BBL3,BBL4,BBL5,BBL6,BBL7,BBL8,BBL9,BBL10,BBL11,BBL12,BBL13,BBL14,BBL15,BBL16,OER_Progra,Class,NTA
"249",North 7th Street,Brooklyn,3023220010.00000000000,3023220011.00000000000,3023220027.99999952316,3023220030.00000000000,3023220029.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"62",Box Street,Brooklyn,3024830020.00000047684,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Greenpoint
"67",Brighton 1st Lane,Brooklyn,3086700080.00000047684,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,VCP (Enrolled),Completed (C),Brighton Beach
"2501",Pitkin Avenue,Brooklyn,3040050028.00000000000,3040050025.00000000000,3040050026.00000000000,3040050029.00000000000,3040050031.00000047684,3040050032.00000047684,3040050032.99999952316,3040050034.00000000000,3040050036.00000000000,3040050037.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),East New York
"484",Myrtle Avenue,Brooklyn,3019050019.00000000000,3019057502.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Clinton Hill
"16",BARTLETT STREET,Brooklyn,3022720004.00000047684,3022720003.00000000000,3022727502.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,VCP (Enrolled),Completed (C),Bedford
"74",Ainslie Street,Brooklyn,3023750010.00000047684,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"683",Marcy Avenue,Brooklyn,3017850000.99999952316,3017850000.99999952316,3017850003.00000000000,3017850003.00000000000,3017850005.00000000000,3017850005.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Bedford
"1225",Atlantic Avenue,Brooklyn,3018660023.00000000000,3018660026.00000047684,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Crown Heights North
"588",Myrtle Avenue,Brooklyn,3019100023.00000000000,3019100024.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Clinton Hill
"230",North 9th Street,Brooklyn,3023130010.99999952316,3023130013.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"26",West Street,Brooklyn,3025710000.99999952316,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Greenpoint
"153",Lorimer Street,Brooklyn,3022420053.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Williamsburg
"148",West Street,Brooklyn,3025310003.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Greenpoint
"1989",Coney Island Avenue,Brooklyn,3067740057.00000000000,3067740058.99999952316,3067740061.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Homecrest
"781",Metropolitan Avenue,Brooklyn,3027600035.00000000000,3027600027.99999952316,3027607502.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),East Williamsburg
"7",Whipple Street,Brooklyn,3022720045.00000000000,3022720045.00000000000,3022720046.00000000000,3022720046.00000000000,3022720147.00000000000,3022720147.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Bedford
"186",Greenpoint Avenue,Brooklyn,3025750005.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Greenpoint
"174",North 11th Street,Brooklyn,3022980013.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"1465",Rockaway Parkway,Brooklyn,3081850024.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Canarsie
"125",Borinquen Place,Brooklyn,3024110000.99999952316,3024110006.00000000000,3024110011.99999952316,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"56",Box Street,Brooklyn,3024830017.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Greenpoint
"1038",Greene Avenue,Brooklyn,3016230025.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Stuyvesant Heights
"767",Bergen Street,Brooklyn,3011400048.00000047684,3011400048.99999952316,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Prospect Heights
"1328",Fulton Street,Brooklyn,3018610119.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Crown Heights North
"37",Forrest Street,Brooklyn,3031410000.99999952316,3031410000.99999952316,3031410005.00000000000,3031410006.00000000000,3031410007.00000000000,3031410008.00000000000,3031410010.00000047684,3031410010.99999952316,3031410011.99999952316,3031410014.00000000000,"3031410015","3031410018","3031410020","3031410021","3031410023","3031410036","3031410022","VCP (Enrolled), E/RD (Review)",Completed (C),Bushwick South
"607",Pacific Street,Brooklyn,3011280009.00000000000,3011280011.00000000000,3011280013.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Park Slope-Gowanus
"387",Manhattan Avenue,Brooklyn,3027380021.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),East Williamsburg
"115",Stanwix Street,Brooklyn,3031390021.00000047684,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Bushwick South
"1060",Bedford Avenue,Brooklyn,3019540022.00000000000,3019547503.00000047684,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Bedford
"1050",Manhattan Avenue,Brooklyn,3025050003.00000000000,3025050004.00000000000,3025050005.00000000000,3025050006.00000000000,3025050007.00000000000,3025050008.00000000000,3025050010.00000047684,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Greenpoint
"821",Bedford Avenue,Brooklyn,3017340059.99999952316,3017347511.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Bedford
"538",Union Avenue,Brooklyn,3027410007.00000000000,3027410008.00000000000,3027417501.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"102",Steuben Street,Brooklyn,3018930047.00000000000,3018930049.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Clinton Hill
"90",Walton Street,Brooklyn,3022500010.00000000000,3022500011.00000000000,3022500012.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Bedford
"61",North 6th Street,Brooklyn,3023250028.00000000000,3023250027.00000000000,3023250029.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"142",North 10th Street,Brooklyn,3023040012.00000000000,3023040013.00000000000,3023040014.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"79",Clay Street,Brooklyn,3024830061.00000000000,3024837502.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Greenpoint
"349",Grand Street,Brooklyn,3023840022.00000000000,2023840025.00000000000,3023840125.00000000000,3023840122.99999952316,3023840123.99999952316,3023840023.00000000000,3023840024.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"243",Meeker Avenue,Brooklyn,3027410019.00000000000,3027410023.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"29",Carroll Street,Brooklyn,3003470050.00000000000,3003470051.00000000000,3003470151.00000000000,3003470052.00000047684,3003470152.00000000000,3003470053.00000047684,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Carroll Gardens-Columbia Street-Red Hook
"120",Union Avenue,Brooklyn,3022380048.99999952316,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Williamsburg
"210",North 12th Street,Brooklyn,3022910017.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"505",Union Avenue,Brooklyn,3023150021.00000047684,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"345",State Street,Brooklyn,3001710101.00000000000,3001710102.00000000000,3001710103.00000000000,3001710104.00000000000,3001710105.00000000000,3001710106.00000047684,3001710106.99999952316,3001710042.99999952316,3001710046.00000000000,0.00000000000,,,,,,,,VCP (Enrolled),Completed (C),DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"119",Livingston Street,Brooklyn,3001540037.00000047684,3001540039.00000000000,3001540040.00000000000,3001540037.99999952316,3001547501.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"299",WALLABOUT STREET,Brooklyn,3022500041.00000000000,3022500043.00000000000,3022500044.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Bedford
"212",North 9th Street,Brooklyn,3023130005.00000000000,3023130007.00000000000,3023137502.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
"434",Van Brunt Street,Brooklyn,3006030023.00000000000,3006030024.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Carroll Gardens-Columbia Street-Red Hook
"81",Fleet Place,Brooklyn,3020610000.99999952316,3020610110.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),Fort Greene
"263",Bedford Avenue,Brooklyn,3023660001.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,,,"VCP (Enrolled), E/RD (Review)",Completed (C),North Side-South Side
