ogc_fid,objectid,effective,year_effec,status,ulurpno,lucats,project_na,shape_leng,shape_area,ULURP_num,Name,Borough,Zoning Map,layer,path
1,1,2009/10/14 00:00:00.000,"2009",Adopted,060551zmq,"060551",BRIARWOOD PLAZA,735.793335792735434,29679.878050215411349,"060551",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
2,2,2009/10/28 00:00:00.000,"2009",Adopted,060419zmq,"060419",SOUTH CONDUIT REZONING,820.472091604696971,38034.872596690365754,"060419",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
3,3,2011/03/23 00:00:00.000,"2011",Adopted,070245zmk,"070245",WYTHE AVE REZONING,1138.820270238232297,80376.513642087287735,"070245",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
4,4,2010/07/29 00:00:00.000,"2010",Adopted,050522zmq,"050522",94TH ST-CORONA AVE,3467.453316788059965,615118.316086361883208,"050522",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
5,5,2007/11/15 00:00:00.000,"2007",Adopted,000198zmm,"000198",E60TH ST REZONING,1461.609224997562478,97767.909062932900270,"000198",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
6,6,2004/12/15 00:00:00.000,"2004",Adopted,050060zmx,"050060",NUEVA ERA APARTMENTS,2145.891180819084639,213302.186118098936277,"050060",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
7,7,2005/03/09 00:00:00.000,"2005",Adopted,050120zmx,"050120",PORT MORRIS/BRUCKNER BLVD REZONING,16010.983300318355759,3101822.179836272727698,"050120",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
8,8,2003/08/19 00:00:00.000,"2003",Adopted,030213zmx,"030213",WASHINGTON PLAZA,2282.825225699347357,298004.279191749170423,"030213",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
9,14,2005/10/11 00:00:00.000,"2005",Adopted,060006zmm,"060006",FAR WEST VILLAGE,8971.647166858061610,1096668.627050557406619,"060006",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
10,20,2006/03/01 00:00:00.000,"2006",Adopted,060171zmk,"060171",GREENPOINT-WILLIAMSBURG,12595.225244315599411,2118860.100895863492042,"060171",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
11,21,2003/11/06 00:00:00.000,"2003",Adopted,030436zmm,"030436",FREDERICK DOUGLAS BLVD REZONING,11497.128587001316191,5848341.744827678427100,"030436",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
12,22,2004/02/04 00:00:00.000,"2004",Adopted,030058zmx,"030058",315 E161ST ST COMMERCIAL REZONING,947.738012861659058,52529.987214235472493,"030058",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
13,23,2004/07/21 00:00:00.000,"2004",Adopted,040270zmm,"040270",145TH ST CORNERSTONE PROJECT,1552.523787563039377,150421.768384273949778,"040270",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
14,24,2006/04/05 00:00:00.000,"2006",Adopted,050203zmk,"050203",CATON PL,941.757910882591204,53508.543824983906234,"050203",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
15,32,2006/07/19 00:00:00.000,"2006",Adopted,060214zmx,"060214",VAN CORTLANDT CENTER,2010.639237439377666,215349.599452436639694,"060214",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
16,33,2006/06/13 00:00:00.000,"2006",Adopted,020518zmk,"020518",KEDEM WINERY,2319.233858921949832,331558.439251589355990,"020518",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
17,34,2008/03/12 00:00:00.000,"2008",Adopted,060377zmk,"060377",WALLABOUT STREET REZONING,1490.192700929149851,126953.348971617699135,"060377",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
18,36,2008/01/09 00:00:00.000,"2008",Adopted,060320zmx,"060320",UNIVERSITY HEIGHTS REZONING,4542.120023064838279,625837.119334465009160,"060320",,,,upzonings2002_14,/Users/alex/Documents/CUNY/Research/Gentrification/Data/Gentrification Index R code and dependent files/Mapping and R/Upzonings/nyzma2002_14.shp
